id,name,full_name,url,description,last_updated,flavors,curse_id,wago_id,wowi_id,has_release_json,last_seen,downloads,release_count
374356999,LFGFilter,Arby69/LFGFilter,https://github.com/Arby69/LFGFilter,WoW-Addon for Classic/TBC that makes LFG and LFM requests in public chats more visible.,2024-04-04T16:15:32Z,wrath,,,,False,2026-04-05T23:28:23Z,97,7
357686412,CovenantFeatureRewards,ArekosAddons/CovenantFeatureRewards,https://github.com/ArekosAddons/CovenantFeatureRewards,Shows which rewards you can get from your covenant feature,2022-11-23T12:32:25Z,mainline,,,,True,2026-04-05T23:28:23Z,3424,14
394497504,LunarlightPodHelper,ArekosAddons/LunarlightPodHelper,https://github.com/ArekosAddons/LunarlightPodHelper,Helps finding unlit Lunarlight Pods and Maldraxxus Runecoffers runes,2023-07-12T15:05:18Z,mainline,,,,True,2026-04-05T23:28:23Z,2372,17
472133133,ProtoformReagentStatus,ArekosAddons/ProtoformReagentStatus,https://github.com/ArekosAddons/ProtoformReagentStatus,Add information to Protoform Synthesis reagents,2023-03-21T15:27:31Z,mainline,,,,True,2026-04-05T23:28:23Z,1502,12
644033598,UpgradeItemsInfo,ArekosAddons/UpgradeItemsInfo,https://github.com/ArekosAddons/UpgradeItemsInfo,Display for how many 'Item Slots' an upgrade item/currency is still needed for.,2026-03-22T16:46:29Z,mainline,,,,True,2026-04-05T23:28:23Z,811,15
704592430,QuestsBegone,ArjanDeo/QuestsBegone,https://github.com/ArjanDeo/QuestsBegone,A simple World of Warcraft addon that hides the quest log in combat,2023-10-13T15:38:39Z,mainline,,,,False,2026-04-05T23:28:23Z,32,1
324398116,AdventureDataCollector,Artamus/AdventureDataCollector,https://github.com/Artamus/AdventureDataCollector,"World of Warcraft Addon to collect follower team composition, enemy composition and success data",2021-01-02T17:52:28Z,mainline,,,,False,2026-04-05T23:28:23Z,67,6
525532415,MovementSpeed,Arxareon/MovementSpeed,https://github.com/Arxareon/MovementSpeed,"World of Warcraft Addon allowing you to view your character's current speed in a movable and customizable display, or anyone else's in the inspect tooltip with fast updates.",2026-02-13T15:47:00Z,"mainline,vanilla,tbc,mists",,,,False,2026-04-05T23:28:23Z,327,18
525564337,RemainingXP,Arxareon/RemainingXP,https://github.com/Arxareon/RemainingXP,"World of Warcraft Addon showing the XP amount needed to level up. It offers a custom XP bar, text integration for the default XP bar, Rested XP accumulation tracking, chat notifications & more.",2023-07-24T11:19:13Z,"mainline,vanilla,tbc,wrath",,,,False,2026-04-05T23:28:23Z,85,5
208504970,TodoChecklister,AssisrMatheus/TodoChecklister,https://github.com/AssisrMatheus/TodoChecklister,A todolist/checklist AddOn for World of Warcraft classic,2019-09-25T21:18:52Z,"mainline,vanilla",,,,False,2026-04-05T23:28:23Z,822,15
76576463,ItemLinkLevel,Athou/ItemLinkLevel,https://github.com/Athou/ItemLinkLevel,Expand item links,2024-08-17T17:08:10Z,"mainline,wrath,cata",255171,,,True,2026-04-05T23:28:23Z,5712,1
488962821,AdiBags_Bound,AvyAddons/AdiBags_Bound,https://github.com/AvyAddons/AdiBags_Bound,"Filters for BoE, BoA, and BoP categories in AdiBags.",2024-07-13T13:32:30Z,"mainline,vanilla,wrath",620793,2jK8W06y,,True,2026-04-05T23:28:23Z,51530,29
559585741,AdiBags_Dragonflight,AvyAddons/AdiBags_Dragonflight,https://github.com/AvyAddons/AdiBags_Dragonflight,AdiBags filter for common Dragonflight items.,2024-04-13T06:45:11Z,mainline,695224,RqGZWoNd,,True,2026-04-05T23:28:23Z,15239,32
559138854,AdiBags_Dragonflight_Crafting,AvyAddons/AdiBags_Dragonflight_Crafting,https://github.com/AvyAddons/AdiBags_Dragonflight_Crafting,Filters for Dragonflight Crafting categories in AdiBags. ,2024-04-13T06:46:13Z,mainline,694788,7x61bvK1,,True,2026-04-05T23:28:23Z,15055,17
741138687,BetterBags_Bound,AvyAddons/BetterBags_Bound,https://github.com/AvyAddons/BetterBags_Bound,Filters for BoE & BoA items in BetterBags.,2026-01-22T20:58:09Z,"mainline,vanilla,mists",960358,ANz0qMK4,,True,2026-04-05T23:28:23Z,25442,40
742326112,BetterBags_DFCrafting,AvyAddons/BetterBags_DFCrafting,https://github.com/AvyAddons/BetterBags_DFCrafting,Filters for Dragonflight Crafting categories in BetterBags.,2025-11-23T11:21:16Z,mainline,963149,ZKxqXEGk,,True,2026-04-05T23:28:23Z,1347,9
741953244,BetterBags_Dragonflight,AvyAddons/BetterBags_Dragonflight,https://github.com/AvyAddons/BetterBags_Dragonflight,Filter for common Dragonflight items in BetterBags.,2025-11-23T11:29:21Z,mainline,960813,b6XV50Gp,,True,2026-04-05T23:28:23Z,5546,16
741326136,BetterBags_Keystones,AvyAddons/BetterBags_Keystones,https://github.com/AvyAddons/BetterBags_Keystones,Filter for Mythic+ Keystones in BetterBags.,2026-01-22T19:42:47Z,mainline,960362,RNL92b6o,,True,2026-04-05T23:28:23Z,2911,16
832968300,BetterBags_WarWithin,AvyAddons/BetterBags_WarWithin,https://github.com/AvyAddons/BetterBags_WarWithin,Filter for common War Within items in BetterBags.,2026-03-04T18:16:46Z,mainline,960816,rNkPwl6a,,True,2026-04-05T23:28:23Z,6683,36
845862369,BetterBags_WarWithin_Crafting,AvyAddons/BetterBags_WarWithin_Crafting,https://github.com/AvyAddons/BetterBags_WarWithin_Crafting,Filters for TWW Crafting categories in AdiBags.,2026-03-04T20:19:13Z,mainline,1088531,bGoMPo60,,True,2026-04-05T23:28:23Z,716,25
562873350,BlizzardBars_Mouseover,AvyAddons/BlizzardBars_Mouseover,https://github.com/AvyAddons/BlizzardBars_Mouseover,Adds mouseover hiding/showing functionality to the default Blizzard Action Bars,2026-03-30T17:36:59Z,mainline,699633,VBNB7L6x,,True,2026-04-05T23:28:23Z,768,39
